min	max	count
50	50	1
51	51	1
52	52	0
53	53	0
54	54	1
55	55	1
56	56	0
57	57	0
58	58	1
59	59	0
60	60	0
61	61	2
62	62	1
63	63	0
64	64	1
65	65	0
66	66	0
67	67	2
68	68	0
69	69	1
70	70	2
71	71	0
72	72	2
73	73	0
74	74	1
75	75	1
76	76	1
77	77	1
78	78	2
79	79	1
80	80	0
81	81	2
82	82	3
83	83	1
84	84	3
85	85	1
86	86	1
87	87	1
88	88	3
89	89	2
90	90	2
91	91	2
92	92	1
93	93	2
94	94	2
95	95	0
96	96	2
97	97	3
98	98	4
99	99	4
100	100	5
101	101	2
102	102	3
103	103	3
104	104	5
105	105	7
106	106	4
107	107	5
108	108	4
109	109	4
110	110	2
111	111	3
112	112	4
113	113	8
114	114	2
115	115	3
116	116	3
117	117	7
118	118	4
119	119	5
120	120	10
121	121	6
122	122	8
123	123	2
124	124	2
125	125	4
126	126	7
127	127	8
128	128	11
129	129	6
130	130	4
131	131	5
132	132	5
133	133	8
134	134	4
135	135	8
136	136	8
137	137	6
138	138	7
139	139	12
140	140	5
141	141	5
142	142	9
143	143	8
144	144	7
145	145	9
146	146	6
147	147	5
148	148	9
149	149	8
150	150	7
151	151	8
152	152	12
153	153	10
154	154	12
155	155	11
156	156	9
157	157	11
158	158	6
159	159	9
160	160	6
161	161	9
162	162	5
163	163	8
164	164	14
165	165	13
166	166	9
167	167	9
168	168	5
169	169	9
170	170	6
171	171	10
172	172	9
173	173	8
174	174	8
175	175	8
176	176	10
177	177	9
178	178	7
179	179	10
180	180	13
181	181	9
182	182	12
183	183	6
184	184	10
185	185	12
186	186	9
187	187	6
188	188	3
189	189	4
190	190	4
191	191	10
192	192	7
193	193	5
194	194	7
195	195	5
196	196	4
197	197	10
198	198	12
199	199	10
200	200	4
201	201	9
202	202	9
203	203	4
204	204	6
205	205	7
206	206	5
207	207	4
208	208	5
209	209	4
210	210	9
211	211	4
212	212	4
213	213	8
214	214	2
215	215	6
216	216	4
217	217	6
218	218	3
219	219	4
220	220	1
221	221	4
222	222	3
223	223	1
224	224	3
225	225	7
226	226	1
227	227	6
228	228	2
229	229	5
230	230	4
231	231	5
232	232	1
233	233	1
234	234	4
235	235	3
236	236	2
237	237	3
238	238	1
239	239	1
240	240	2
241	241	2
242	242	3
243	243	3
244	244	2
245	245	1
246	246	3
247	247	2
248	248	2
249	249	1
250	250	3
251	251	0
252	252	1
253	253	5
254	254	0
255	255	3
256	256	0
257	257	3
258	258	1
259	259	1
260	260	0
261	261	4
262	262	2
263	263	1
264	264	0
265	265	2
266	266	1
267	267	0
268	268	0
269	269	0
270	270	1
271	271	0
272	272	0
273	273	1
274	274	1
275	275	2
276	276	0
277	277	0
278	278	2
279	279	0
280	280	0
281	281	4
282	282	0
283	283	0
284	284	0
285	285	0
286	286	0
287	287	0
288	288	0
289	289	0
290	290	0
291	291	0
292	292	0
293	293	1
294	294	1
295	295	0
296	296	0
297	297	0
298	298	0
299	299	1
300	300	0
301	301	0
302	302	0
303	303	0
304	304	0
305	305	0
306	306	0
307	307	0
308	308	1
