"Package","Version"
"BH","1.90.0-1"
"BiocManager","1.30.27"
"BiocVersion","3.22.0"
"DBI","1.3.0"
"Deriv","4.2.0"
"FNN","1.1.4.1"
"Formula","1.2-5"
"KernSmooth","2.23-26"
"MASS","7.3-65"
"Matrix","1.7-5"
"MatrixModels","0.5-4"
"ModelMetrics","1.2.2.2"
"PKI","0.1-15"
"R6","2.6.1"
"RColorBrewer","1.1-3"
"RSpectra","0.16-2"
"Rcpp","1.1.1-1.1"
"RcppAnnoy","0.0.23"
"RcppArmadillo","15.2.6-1"
"RcppEigen","0.3.4.0.2"
"RcppProgress","0.4.2"
"RcppTOML","0.2.3"
"Rdpack","2.6.6"
"Rtsne","0.17"
"S7","0.2.2"
"SQUAREM","2026.1"
"SparseM","1.84-2"
"TH.data","1.1-5"
"abind","1.4-8"
"askpass","1.2.1"
"backports","1.5.1"
"base","4.5.2"
"base64enc","0.1-6"
"bit","4.6.0"
"bit64","4.8.0"
"blob","1.3.0"
"boot","1.3-32"
"broom","1.0.12"
"bslib","0.10.0"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-5"
"carData","3.0-6"
"caret","7.0-1"
"cellranger","1.1.0"
"class","7.3-23"
"cli","3.6.6"
"clinfun","1.1.5"
"clipr","0.8.0"
"clock","0.7.4"
"cluster","2.1.8.2"
"codetools","0.2-20"
"coin","1.4-3"
"colorspace","2.1-2"
"compiler","4.5.2"
"conflicted","1.2.0"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.4"
"crayon","1.5.3"
"curl","7.1.0"
"data.table","1.18.2.1"
"datasets","4.5.2"
"dbplyr","2.5.2"
"diagram","1.6.5"
"digest","0.6.39"
"doBy","4.7.1"
"doParallel","1.0.17"
"dplyr","1.2.1"
"dqrng","0.4.1"
"dtplyr","1.3.3"
"e1071","1.7-17"
"effsize","0.8.1"
"evaluate","1.0.5"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"forcats","1.0.1"
"foreach","1.5.2"
"forecast","9.0.2"
"foreign","0.8-91"
"fracdiff","1.5-4"
"fs","2.1.0"
"future","1.70.0"
"future.apply","1.20.2"
"gargle","1.6.1"
"generics","0.1.4"
"ggforce","0.5.0"
"ggplot2","4.0.3"
"ggpubr","0.6.3"
"ggrepel","0.9.8"
"ggsci","5.0.0"
"ggseqlogo","0.2.2"
"ggsignif","0.6.4"
"glmnet","5.0"
"globals","0.19.1"
"glue","1.8.1"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"gower","1.0.2"
"grDevices","4.5.2"
"graphics","4.5.2"
"grid","4.5.2"
"gridExtra","2.3"
"gtable","0.3.6"
"hardhat","1.4.3"
"haven","2.5.5"
"highr","0.12"
"hms","1.1.4"
"htmltools","0.5.9"
"httr","1.4.8"
"httr2","1.2.2"
"ids","1.0.1"
"ipred","0.9-15"
"irlba","2.3.7"
"isoband","0.3.0"
"iterators","1.0.14"
"jose","2.0.0"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"kernlab","0.9-33"
"knitr","1.51"
"labeling","0.4.3"
"lattice","0.22-9"
"lava","1.9.0"
"libcoin","1.0-12"
"lifecycle","1.0.5"
"limma","3.66.0"
"listenv","0.10.1"
